delete_reason,Human Annotation 
saat ini karena masih punya anak baby jdi masih belum bisa komiymen untuk tiap minggu datang. hanya bisa sesekali hadir,waktu_tidak_sesuai
sudah pindah ke luar kota secara permanen,lokasi
pindah ke Bali,lokasi
pindah negara,lokasi
Study di America,lokasi
sedang study di Amerika,lokasi
tidak tertanam di jpcc,tertanam_di_gereja_lain
Tidak tertanam di jpcc,tertanam_di_gereja_lain
"tidak pernah hadir kurang lebih 2½ tahun terakhir, sibuk dengan pekerjaan dan persiapan beasiswa S2, sering di kontak dan menginformasikan akan hadir tetapi tetap tidak muncul. secara keinginan bertumbuh sebenarnya ada, tetapi tidak terlihat dari kerinduan utk benar² hadir dalam pertemuan date.",tidak_ada_respon
"tertanam dan melayani di gereja lain, tidak pernah hadir 2 ½ tahun terakhir, perbedaan musim kehidupan (waktunya sangat sibuk dengan pekerjaan). prioritas menemani mama sejak papanya kembali ke rumah Bapa.",tertanam_di_gereja_lain
"tidak pernah hadir, sulit terhubung (sudah dikontak tapi tidak ada respon), 3 tahun lalu hadir tapi tidak bisa full focus karena tanggung jawab pekerjaan",tidak_ada_respon
ditempatkan ke luar negeri,lokasi
pindah k Surabaya,lokasi
double,Admin
sudah tidak beribadah secara rutin ke jpcc,others
request untuk keluar Date setelah 2 minggu tidak hadir Date. Ditanya alasannya ga cocok dengan Date ini dan ditawarkan bantuan untuk cari Date lain juga tidak mau.,alasan_date
pindah ke luar kota,lokasi
-,others
pindah tempat tinggal dan pindah greja,lokasi
meninggal dunia,others
Needed some space and time due to family/marrital problem.,others
perubahan musim kehidupan dari DL nya.,perbedaan_musim_kehidupan 
Want to find a different community after getting married,alasan_date
Moved to another church due to family reasons,tertanam_di_gereja_lain
Moved to another church due to family reasons,tertanam_di_gereja_lain
Moved to another church due to family reasons,tertanam_di_gereja_lain
date leader rubah ke date merried couple,alasan_date
"Bukan Member date, Nesya mendaftarkan sbagai suami padahal mereka belum menikah",Admin
"Kesalahan sy. Status Eka adl br mulai visit di date. jadi shrsnya accept as probation, bukannya DM",Admin
already move to other date for 2 years,alasan_date
have not been joining for more than 1 year,tidak_ada_respon
going abroad to UK to work and live there together with his wife Maria.,lokasi
going abroad to UK to work and live there together with her husband David.,lokasi
terdaftar dengan 2 akun di date,Admin
moving to Bandung already years,lokasi
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,tidak_ada_respon
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,tidak_ada_respon
DM sudah tidak pernah dtg ke date lbh dr 2 tahun,tidak_ada_respon
DM sudah tidak pernah dtg ke date dlm jangka waktu 2 tahun,tidak_ada_respon
putri berencana pindah gereja ke gereja awal bersama teman2nya,tertanam_di_gereja_lain
"withdraw from DATE, disarankan untuk mencari DATE lain yg lebih sesuai",alasan_date
Sudah pindah keCikarang jadi tidak bisa date lagi,lokasi
Date member memilih untuk off sementara krn alasan yg tdk bs dijelaskan kepada DL.,others
Sudah tidak pernah datang selama 3 bulan terakhir.,tidak_ada_respon
Tidak aktif di date selama lebih dari 1 tahun.,tidak_ada_respon
Tidak aktif di date selama lebih dari 1 tahun.,tidak_ada_respon
Tidak aktif di date selama lebih dari 1 tahun.,tidak_ada_respon
"Belum bisa komitmen untuk datang ke Date, sudah berbulan-bulan tidak hadir ke 
Date dan Sdri. Mei meminta secara pribadi untuk dikeluarkan dari date.",tidak_ada_respon
memutuskan utk tidak ternama di DATE lagi karena season kehidupan yg baru yaitu menikah dan belum ada waktu untuk cari DATE yg lbh dekat dekat tempat tinggal baru nya di TANGERANG. sebagai DL saya sudah bantu fasilitasi untuk cari DATE baru namun tidak ada kabar dan komitmen nya utk visit maupun cari DATE married couple.,perbedaan_musim_kehidupan 
"Salah input
Salah input nama. Itu nama anak date member",Admin
"Date Member info blom bisa komitmen untuk hadir mengikutin date walaupun 1 atau 2 bulan sekali karena sering lembur di kantor..udh info ke date member akan coba bantu cari date yang bisa menyesuaikan dengan jadwal member , tp date membernya tetap pada pendiriaanya..dan selama join di date di bulan januari date member baru hadir 3x ikut join date sampai july ini..thank you",waktu_tidak_sesuai
"Arwin & family moved to Bali dan mau tertanam di gereja lokal, dan mereka mau bergabung komsel disana.",lokasi
"Gina & family move to Bali dan mau tertanam di gereja lokal, dan mereka mau bergabung komsel disana.",lokasi
Memutuskan utk tertanam di gereja lain,tertanam_di_gereja_lain
sudah tidak pernah datang ke date dan gereja.,tidak_ada_respon
Sudah Tidak lagi berdomisili di Jakarta,lokasi
Saudara Deynes sudah almarhum atau meninggal dunia,others
ybs sudah tidak pernah hadir di DATE dan ibadah onsite,tidak_ada_respon
Never joined DATE more than 7 months.,tidak_ada_respon
Never joined DATE more than a year.,tidak_ada_respon
Never joined DATE more than a year.,tidak_ada_respon
Renati pindah ke Bali dan akan bergereja di Bali,lokasi
Pindah ke gereja lain bersama pacarnya.,tertanam_di_gereja_lain
Pindah ke gereja lain dan pindah tempat tinggal.,tertanam_di_gereja_lain
diluar kota sejak beberapa tahun yg lalu,lokasi
"date member sudah berpindah lokasi,jadi tidak memungkinkan untuk stay di date.",lokasi
"date member sudah pindah lokas, jadi tidak memungkinkan kalau stay di date kami. Dan sudah coba di date yang dekat dengan rumahnya",lokasi
Robin & Meylis sudah pindah ke Medan dari setahun lalu dan akan seterus nya domisili di Medan. Mereka juga sudah menemukan gereja lokal disana.,lokasi
Robin & Meylis sudah pindah ke Medan dari setahun lalu dan akan seterus nya domisili di Medan. Mereka juga sudah menemukan gereja lokal disana.,lokasi
Pindah Domisili ke New Zealand,lokasi
Pindah Domisili Ke New Zealand,lokasi
"akan dapat beasiswa ke New York, jadi tidak akan berada di Jakarta",lokasi
memberi tempat ke DM yg lbh membutuhkan,others
"sudah di luar kota, ga aktif lg",tidak_ada_respon
ybs sudah lama tidak pernah hadir di pertemuan date. sudah konfirmasi pd ybs utk proses remove.,tidak_ada_respon
Sedang mencari date married couple,alasan_date
Sedang mencari date married couple,alasan_date
"memutuskan untuk tidak Date lagi, karena pindah tempat tinggal.",lokasi
"tinggal di luar kota, jadi tidak bisa hadir jpcc lagi",lokasi
pindah rumah dan pindah gereja,tertanam_di_gereja_lain
pindah rumah dan pindah gereja ke luar kt,tertanam_di_gereja_lain
"kuliah diluar kota, kita himbau untuk mencari komunitas lokal",lokasi
"kuliah diluar kota, jadi kami himbau untuk mencari komunitas lokal.",lokasi
"sedang kuliah diluar negeri, kita himbau untuk join komunitas lokal.",lokasi
"never joined the date since the beginning,",tidak_ada_respon
"long time inactive , not joining jpcc online service too, ministry in other church",tertanam_di_gereja_lain
"long time inactive , not joining jpcc online service too, ministry in other church",tertanam_di_gereja_lain
"long time inactive , not joining jpcc online service too, ministry in other church",tertanam_di_gereja_lain
Ella is moving to UK for working,lokasi
Pindah ke luar kota dan tidak ikut date lagi,lokasi
Info dr dm tidak mau ikut date dulu,others
Pindah tempat tinggal dan sudah berkeluarga,lokasi
"setelah berdiskusi, DM siap untuk menjalani season baru di tempat yang baru bersama dengan pasangan, dan kami segenap DATE mendukung agar DM dapat tertanam dan bertumbuh dengan baik dan optimal di tempat baru nya.",perbedaan_musim_kehidupan 
She wants to change to another Date with younger members,alasan_date
ada 2 email yang masuk jadi di pake salah satu saja,Admin
tidak hadir date lebih dari 3bulan. bahkan lebih dari 6bulan baik Online & Offline,tidak_ada_respon
Silvia sudah tidak bergereja di jpcc lagi,others
double account. ada yang email hotmail dan gmail. delete 1 account yang hotmail,Admin
No active and no communication. It was by mistake to approve teice anyway,tidak_ada_respon
Non active dan tidak merespon ketika di hubungi,tidak_ada_respon
"Non active more than 3 months, karena pindah kerja dan tmpt kos",tidak_ada_respon
Udah lama ga dateng pertemuan date,tidak_ada_respon
Sudah pindah kota dan memutuskan untuk ikut tertanam di gereja suami setelah menikah,lokasi
Vincent tidak pernah datang ke date,tidak_ada_respon
Move to other date married couple,alasan_date
Sudah tidak pernah join DATE lagi,tidak_ada_respon
Sedang sekolah di luar negeri dan bukan jemaat JPCC,others
Berjemaat dan melayani di gereja lain,tertanam_di_gereja_lain
"Sudah tidak aktif date, akan kembali lagi",tidak_ada_respon
Move to other church krn ga bs dpt seats untuk anaknya di greja sunday,tertanam_di_gereja_lain
Move to other church krn ga bs dpt seats untuk anaknya di greja sunday,tertanam_di_gereja_lain
sudah tidak pernah mengikuti DATE,tidak_ada_respon
sudah tidak pernah mengikuti DATE,tidak_ada_respon
sudah tidak pernah mengikuti DATE,tidak_ada_respon
sudah tidak pernah mengikuti DATE,tidak_ada_respon
sudah tidak pernah mengikuti DATE,tidak_ada_respon
"Transfer ke Date Sudirman12 dengan cara manual, karena tidak muncul pilihan transfer ke Date Sudirman 12 di app myjpcc.",alasan_date
Member didn’t show up for the past year. Thank you.,tidak_ada_respon
Member wants to find DATE that is near to her boarding house and campus. Thank you.,alasan_date
Member wants to find DATE that is near to his workplace/home. Thank you.,alasan_date
sudah tidak datang ke date lebih Dari 6 bulan Dan info tidak bisa komit dengan ikut DATE setiap online atau offline,tidak_ada_respon
Tidak lagi merespon saat dikontak sejak desember 2023,tidak_ada_respon
Sarah sudah tidak aktif di date karena terakhir kali diinfo mau pindah ke date married couple,tidak_ada_respon
Amalia pindah kerja ke luar negeri,lokasi
Perubahan kategori Date dari general menjadi married couple,alasan_date
Perubahan kategori Date dari general menjadi married couple,alasan_date
Perubahan kategori Date dari general menjadi married couple,alasan_date
Perubahan kategori Date dari general menjadi married couple,alasan_date
Perubahan kategori Date dari general menjadi married couple,alasan_date
Perubahan kategori Date dari general menjadi married couple,alasan_date
Shelly ingin mencari date yg offline dan waktu yang sesuai dengan jadwalnya.,waktu_tidak_sesuai
"Pindah rumah ke PIK, jadi kejauhan untuk ikut offline di BSD",lokasi
pindah ke kota bandung satu keluarga,lokasi
pindah ke kota Bandung satu keluarga.,lokasi
Sudah tidak bergereja di JPCC,others
Seasons of life. Has not been attended DATE for awhile,perbedaan_musim_kehidupan 
Miranda sedang kuliah di luar kota dan sebagai DL kita encourage Miranda untuk dapat tertanam di gereja lokal disana sehingga bisa bertumbuh & berbuah,lokasi
Transfer to Date Gading Serpong 11,alasan_date
Transfer to Date Gading Serpong 11,alasan_date
"masih mau mencoba date lain, belum perna datang ke date bsd 47",alasan_date
tidak cocok dgn pertemuan online. ingin mencari date offline.,alasan_date
sudah pindah untuk bekerja ke Amerika,lokasi
"Karna ada masalah yang sedang terjadi, Peter belum bisa untuk mengikuti Date dan menyatakan ingin keluar dari Date.",others
move to china for college:”))),lokasi
move to UK for college. hard to find matching time,lokasi
"Sedang kuliah diluar negeri, dan kita (as DL) encourage Chris untuk bisa tertanam di komunitas lokal & terus bisa bertumbuh didalam Tuhan.",lokasi
Mau mencoba mencari date lain,alasan_date
Date member pindah gereja dekat rumah,tertanam_di_gereja_lain
"Edo sudah 6 bulan tidak menghadiri Date, dan tidak membalas chat grup maupun pc",tidak_ada_respon
"Sudah lama tidak datang date, dan sudah memutuskan tidak tergabung dengan date. Sudah ditawarkan apakah mau pindah date, tapi tetap tidak mau.",tidak_ada_respon
domisili yg berbeda. pulang ke kampung halaman,lokasi
diluar kota menetapnya jd ud ga bs hadir date offline,lokasi
sudah tidak hadir dari januari 2023,tidak_ada_respon
"perubahan data email dan no hp
datemember lupa pasword email lama dan no hp sudah tifak digunakan. solusi create akun baru",Admin
sudah tidak aktif  lebih dari 6 bulan,tidak_ada_respon
"double input di data myjpcc, sehingga coba dikeluarkan salah satu akun",Admin
"double input di data myjpcc, sehingga coba dikeluarkan salah satu akun",Admin
"tidak sengaja ter approve, status masih probation",Admin
"tidak sengaja approve, status masih probation",Admin
"Nesa sudah tidak aktif selama 6 Bulan di Date karena sibuk dan merasa tidak bertumbuh dalam sebuah Date. Ngerasa belum ada manfaatnya untuk join Date, jadi ingin mengundurkan diri",tidak_ada_respon
Inactive and never attended date,tidak_ada_respon
Intan has moved to place outside Jakarta,lokasi
sudah tidak date bln feb23. tidak ada kabar..,tidak_ada_respon
"sudah tidak aktif di DATE kita, dan tidak bergereja di JPCC",tidak_ada_respon
yang bersangkutan tidak memberikan kabar apapun mengenai keputusannya left DATE,tidak_ada_respon
"sudah 2 tahun tidak datang ke date setelah istri melahirkan 2 anak, dan belum ada waktu untuk berkomitmen datang ke  date",perbedaan_musim_kehidupan 
"sudah 2 tahun tidak datang ke date setelah melahirkan 2 anak, dan belum ada waktu untuk berkomitmen datang ke  date",perbedaan_musim_kehidupan 
"Ybs 2 tahun kebelakangan ini tidak pernah hadir di DATE dan saat di follow up, Ybs info bahwa sekarang dia ada kegiatan lain yang bentrok dgn waktu DATE Sunter 15 sehingga dia lebih memilih mundur dari DATE Sunter 15.",waktu_tidak_sesuai
Need time to take a break. Meanwhile diambil keputusan utk diremove dari group date dl karena belum bisa commit dateng ke date lagi.,others
Pindah rumah krn sudah berkeluarga dan mau pindah tmpt ibadah krn jauh ke JPCC,lokasi
Tidak aktif mengikuti Date sudah lebih dari 6 bulan. Sudah di infokan dan menyatakan ingin leave dari Date Tebet 17,tidak_ada_respon
mengundurkan diri dan sudah tidak aktif/ tidak hadir dalam 6 bulan,tidak_ada_respon
date mamber ingin melanjutjan date di date karawaci 3 karena merasa dari sisi usia tidak cocok di date karawaci 9,alasan_date
"has been inactive for many months due to her schedule, and decided to search another DATE",waktu_tidak_sesuai
"Berencana cari Date yg lebih dkt rumah, stlah skrng mulai wfo kantornya.",alasan_date
Pindah ke PIK dan akan cari date sendiri,lokasi
"uda kerja di luar kota, jd ga aktif Date lagi",lokasi
Sudah tidak beribadah di jpcc,others
Sudah tdk aktif lagi di jpcc..,others
Proses perubahan kategori DATE dari general menjadi married couple,alasan_date
Sudah meninggal dunia sejak 17 January 2023,others
Sudah lama tidak aktif dan tidak bisa dihubungi tlp nya dan juga tidak ada kabar.,tidak_ada_respon
"Saat Pandemi ikut Date secara online , setelah Pandemi berakhir kembali ke gereja asal , ikut suami yang memang dari awal bukan jemaat JPCC .... sampai sekarang masih berhubungan tetapi di luar Date ...",tertanam_di_gereja_lain
"ivana is following her husband to join his church (abbalove)
she will still our member in daily life... but need to remove her in the system to give space for newer member",tertanam_di_gereja_lain
"Bukan date member, otomatis ter-add karena date member sy mengganti status menikah dimana belum menikah. Status skrg sudah di-update dan sesuai.",Admin
"DM sudah lama tidak bisa date karena ada pekerjaan di waktu dan jam date menteng atas 1. DM ingin mencari date yang waktunya cocok dengan waktunya, yaitu di sabtu di atas jam 2 atau hari selasa",waktu_tidak_sesuai
Absen lebih dari 3 bln karena alasan kesibukan pekerjaan,waktu_tidak_sesuai
"Absen lebih dari 3 bulan, dng alasan kesibukan kerjaan.",waktu_tidak_sesuai
Yana & suami memutuskan untuk aktif di gereja lain dan mendampingi anak-anak mereka,tertanam_di_gereja_lain
Alex & istri memutuskan untuk aktif di gereja lain dan mendampingi anak-anak mereka,tertanam_di_gereja_lain
Moved to a new house in Bumi Serpong Damai,lokasi
Moved to a new area in Bumi Serpong Damai,lokasi
Mau pindah date krn jumat sibuk,alasan_date
date member tidak aktif datang ke date,tidak_ada_respon
Tidak ada kabar selama 2 bulan,tidak_ada_respon
Sudah tidak aktif lagi di date. Semenjak date mulai offline sudah tidak lanjut date lagi karena domisili jauh dari lokasi date,tidak_ada_respon
Sudah tidak aktif lama dan tidak pernah merespon walaupun di follow up berkali-kali,tidak_ada_respon
Pindah negara dan sudah pindah gereja,tertanam_di_gereja_lain
Pindah domisili dan sudah pindah gereja,tertanam_di_gereja_lain
"Akan cari komsel digererja lain. Pisah sama pacarnya gagal menikah, dan pacarnya yang stay di date",tertanam_di_gereja_lain
Tidak pernah hadir di DATE dan yang bersangkutan sedang mencari DATE yang dirasakan cocok waktu dan usianya,alasan_date
"Already moved to Surabaya, still in DATE Group joined for Online DATE",lokasi
sudah tidak datang lama dan sibuk karena kerja di jakarta sekarang,waktu_tidak_sesuai
new season in life. got pregnant and chose to move to a married couple,perbedaan_musim_kehidupan 
Not active in DATE for more than a year.,tidak_ada_respon
Move to Bali for good and no longer churching in JPCC.,lokasi
Move to Bali for good and no longer churching in JPCC.,lokasi
Move to another city outside Jakarta,lokasi
The person is now living in Bali and already found the local church there.,tertanam_di_gereja_lain
mencari date yang dilakukan pada hari sabtu pagi di area green lake city.,alasan_date
Handy telah pindah ke DATE Alam Sutera 3,alasan_date
Sudah lama tidak join Date krn pindah kantor,lokasi
date member ini sudah tidak begitu mengikuti kegiatan date dan sudah tidak pernah ada komunikasi baik dgn date member atau date leader. Dan juga mereka sedang mempersiapkan perpindahan negara dalam waktu dekat.,lokasi
DM yg bersangkutan harus pindah tempat sesuai dengan tempat kerja. dan memutuskan akan mencari DATE baru.,lokasi
DM tidak pernah hadir di dalam DATE lebih dari setahun dan tidak ada respon ketika di approach,tidak_ada_respon
DM sudah tidak pernah hadir date lebih dari setahun dan tidak ada respon ketika di approach,tidak_ada_respon
He moved to another date.,alasan_date
DM sudah pindah ke Australia untuk kerja dan berusaha,lokasi
Memutuskan untuk keluar dr Date (Keinginan sendiri),others
Memutuskan untuk keluar dr Date (Keinginan sendiri),others
Bukan anggota DATE. Namun terdaftar karena didaftarkan oleh jonathan,Admin
"Pindah tempat tinggal ke JakBar.
Date stop dulu sampai proses pemulihan penyakit paru parunya selesai.",others
selama hampir 2 tahun ybs ga pernah hadir dalam Date. dan dalam sebulan terakhir Saya berusaha mengajak ybs utk datang kembali namun tidak ada respon sama sekali dari ybs. bahkan tidak satupun wa saya yg dijawab. Saya melihat ybs sudah merasa tidak nyaman lagi di Date Kalibata 4,tidak_ada_respon
Tidak pernah datang date dan merasa kurang cocok di date alsut 3.,alasan_date
never attend date for  more than 3 month,tidak_ada_respon
tidak aktif dan susah datang ke pertemuan date,tidak_ada_respon
no longer members of BSD 3 since 2023,Admin
Tidak aktif datang ke DATE selama 6 bulan,tidak_ada_respon
sudah lama tidak aktif di date. ibadah di gereja lain.,tertanam_di_gereja_lain
"DM terkendala lokasi karena sekarang tinggal di sekitaran ciputat, sedangkan date kami di rawamangun. Thanks!",lokasi
Masih belum komitmen untuk general date,others
Member sidah tidak aktif dari akhir tahun 2021,tidak_ada_respon
"Sudah tidak pernah hadir, sementara slot untuk yang rutin dateng",tidak_ada_respon
Lagi diluar negeri sementara diisi orang lain dulu,lokasi
"Pindah domisil, sudah menikah dan mau ke date couple",lokasi
"not active for months, busy load, change season of life",perbedaan_musim_kehidupan 
Waiting until the person has margin time to come,waktu_tidak_sesuai
"Belum join date, hanya ikut nama pasangan",others
"Belum join date, hanya ikut nama pasangan",others
Udah gak pernah date lagi dan sudah pindah lokasi ke bsd,lokasi
perlu meningkatkan komitmen kehadiran,tidak_ada_respon
Sedang tidak bergereja di JPCC,tertanam_di_gereja_lain
Sedang tidak bergereja di JPCC,tertanam_di_gereja_lain
"mencari date baru, dikarenakam DL ada masalaha kesehatan jadi Off dl dari pelayanan",alasan_date
"mencari date baru lg dikarenakan DL ada masalah kesehatan, jadi off dl dari pelayanan DL",alasan_date
"mencari date baru lagi, dikarenakan DL sedang ada masalah kesehatan jd akan Off dl dari pelayanan",alasan_date
Member sudah lama tidak aktif datang ke DATE,tidak_ada_respon
merasa tidak nyaman di Date lagi,others
Akan berpindah domisili ke USA,lokasi
Going back to the old church and not attend date anymore,tertanam_di_gereja_lain
"not active more than 2 months.
already try to reach him but no respond",tidak_ada_respon
Member sudah tidak aktif dan sudah lama tidak date,tidak_ada_respon
Saat ini berada di season yang berbeda dan sudah tidak aktif lagi di date.,perbedaan_musim_kehidupan 
Saat ini berada di season yang berbeda dan sudah tidak aktif lagi di date.,perbedaan_musim_kehidupan 
Member sudah lama tidak aktif di date,tidak_ada_respon
"pindah date karena memang nanti nya cipinang 7 ga ada lagi,Krn kesehatan DL mengundurkan diri dari pelayanan",alasan_date
Michelle pindah tempat tinggal ke jakarta,lokasi
Sherly Lisianti mengajukan pengunduran diri minggu ini hari rabu tanggal 14 Juni 2023 karena memutuskan untuk pindah dan berjemaat di gereja lain..,tertanam_di_gereja_lain
Pindah ke china dan akan mencari komunitas disana,lokasi
Cannot commit with DATE activities due to family matters.,others
Cannot commit with DATE activities and will no longer be planted in JPCC,others
Ga bisa dikontak lebih dari 6 bulan,tidak_ada_respon
"Pindah rumah dan kantor, sedang dlm prioritas yg berbeda",lokasi
Mau married dan ikut gereja calon suaminya di Cikini,tertanam_di_gereja_lain
"Bu Inggrid hanya sekali ikut temu DATE on-site, dan setelah itu tidak pernah ikut temu DATE lagi, baik virtual maupun on-site. Barusan beliau sudah putuskan tidak mau bergabung dulu dgn DATE PIK 35.",tidak_ada_respon
Date Member tidak aktif dan sudah lama tidak datang date,tidak_ada_respon
Date Member tidak aktif datang ke pertemuan Date mingguan,tidak_ada_respon
"She lives in another town with her family, and has moved to local church.",tertanam_di_gereja_lain
He's been out of town for work and has moved to local church.,tertanam_di_gereja_lain
"Monic hasn’t been active to come to date since 2020, she is now working at outside Jakarta",lokasi
Sudah berbeda season kehidupan,perbedaan_musim_kehidupan 
"Sudah tidak bergereja di JPCC, karena kalah war sering tidak dapat seat sunday school, saat ini di GDI Kuningan City",tertanam_di_gereja_lain
DM moved to another country. Sedang dalam proses mencari komunitas di sana,lokasi
Member sudah tidak aktif di date,tidak_ada_respon
Member sudah tidak aktif di date,tidak_ada_respon
Mau mencari date married couple,alasan_date
"Halo Abraham, saya akan remove lu dari member ya, karena kehadiran di Date tidak aktif. jika mau ikut Date lagi ato mau cari Date lain yg sesuai schedule lu feel free ya. let me know if need help. tx. GBU",tidak_ada_respon
Date member has moved to other city and unable to join date,lokasi
Sedang fokus pada hal lain sehingga tidak dapat komitmen untuk sementara waktu,waktu_tidak_sesuai
sudah tidak aktif dr tahun 2020 dan belum mau bergabung dikomunitas dl,tidak_ada_respon
Sudah berjemaat di tempat lain,tertanam_di_gereja_lain
memutuskan mau cari dket bsd n blm ada kabar lagi,alasan_date
Oktavia changed her email address and will not use this email anymore in the future.,Admin
tidak aktif di date. sementara masih akan jadi visitor di date.,tidak_ada_respon
"istri pindah kerja di Bali, apabila  sudah kembali ke Jakarta kemungkinan akan aktif lagi nge Date di Cengkareng 2",lokasi
"pindah kerja di Bali, apabila  sudah kembali ke Jakarta kemungkinan akan aktif lagi nge Date di Cengkareng 2",lokasi
"Sudah tidak aktif lagi di date
Sudah di approach namun memang ybs berhalangan untuk hadir dikarenakan kesibukan",waktu_tidak_sesuai
"change ID login, member punya email yg berbeda",Admin
Putra dan Hanna memilih untuk tidak join karena keterbatasan waktu mereka untuk join DATE dan saat jni mereka ada di musim baru yang tidak mudah,perbedaan_musim_kehidupan 
"move to other church
remarried after divorce",tertanam_di_gereja_lain
"Pindah ke date lain dengan alamat email yang berbeda. Akhirnya setelah berbincang dengan date barunya, diusulkan untuk akun yang ini diremove dulu.",Admin
Kerjaannya lembur tiap kamis jdi better cari date lain,alasan_date
Date inactive. Date member cari date baru,alasan_date
DM tidak pernah hadir lebih dari 1 tahun dan tidak pernah merespon saat dihubungi.,tidak_ada_respon
Domisili sedang si luar negeri,lokasi
"Sudah pindah domisili,move to date baru",alasan_date
Member nya sampai ada 3 untuk 1 nama yg sama,Admin
Member nya sampai ada 3 untuk 1 nama yg sama,Admin
Sudah pindah ke gereja lain dan tidak aktif di dalam date.,tertanam_di_gereja_lain
Kehadirn krg dr 30% slm 10 bln,tidak_ada_respon
"move to other Date
with the same group of age",alasan_date
The couple move to other church,tertanam_di_gereja_lain
The couple move to other church,tertanam_di_gereja_lain
ekspektasinya bahwa DATE itu adalah lingkungan pertemanan yang fun dan solid. Tidak setuju dengan multiplikasi sebagai salah satu indikator DATE yang sehat.,others
sering tidak hadir tanpa info lebih dari 1 bulan,tidak_ada_respon
Double profile in the data. Already registered,Admin
Move to Gilgas as they find difficulties to get seat in JPCC Kids,tertanam_di_gereja_lain
Move to Gilgal as they find difficulties to get seat in Next gen Kids,tertanam_di_gereja_lain
Sudah 3 bulan tidak join date.,tidak_ada_respon
"sudah 2.5 tahun tidak pernah hadir date, berhalangan karena kesibukan pekerjaan dan ada ibadah di gereja lain",tertanam_di_gereja_lain
"sudah 2.5 tahun tidak pernah hadir date, berhalangan karena kesibukan pekerjaan dan ada ibadah di gereja lain",tertanam_di_gereja_lain
Tidak ada respon jika diajak untuk DATE (apakah bisa datang atau tidak). Dan kenyataannya tidak ada kejelasan dan tidak datang DATE.,tidak_ada_respon
Tidak cocok dengan hari Jumat akan mencoba DATE lain di hari Kamis,alasan_date
Chika choose to search for another date since she can’t join on Monday and her workplace is moving to Glodok area,alasan_date
Date akan nonaktif dan DM akan mencari date baru,alasan_date
Date akan nonaktif dan DM akan mencari date baru,alasan_date
Date akan nonaktif dan DM akan mencari date baru,alasan_date
Date akan nonaktif dan DM akan mencari date baru,alasan_date
Date akan nonaktif dan DM mau mencari date lain,alasan_date
blm cocok di dlm jpcc dan date memutuskan pindah gereja yg sesuai dengan kebutuhan ya,tertanam_di_gereja_lain
"Tidak aktif,sudah tidak berjemaat di jpcc",tidak_ada_respon
member tidak pernah mendaftar dan tidak pernah ikut date. otomatis masuk ke DK9 karena istri mengubah status married dengan DM yang bersangkutan,Admin
"date pindah lokasi, yang bersangkutan request diremove spy bs melihat daftar DATE di akun myjppc.",alasan_date
Lokasi date terlalu jauh dengan lokasi kerja/tempat tinggal,alasan_date
Mengundurkan diri karena akan pindah ke agama Katolik,tertanam_di_gereja_lain
Sudah pindah keluar kota jakarta,lokasi
Sudah pindah keluar kota Jakarta,lokasi
Tidak aktif karena jadwal date tidak cocok dengan kesibukan,waktu_tidak_sesuai
Tidak aktif karena jadwal date bentrok dengan kesibukan,waktu_tidak_sesuai
jadwal kerjaan dan kelas sudah tidak pas,waktu_tidak_sesuai
Mengundurkan diri karena jauh dan macet dari rumah di gading serpong dan sibuk dengan bisnisnya yang sering sampai malam,waktu_tidak_sesuai
"Date disbanded, and she wants to look for another Date",alasan_date
Sudah tidak bisa hadir date berapa bulan terakhir,tidak_ada_respon
Sudah tidak pernah datang DATE setahun,tidak_ada_respon
Mau mencari date married couple,alasan_date
Mau mencari date married couple,alasan_date
Tidak memiliki pandangan yang sesuai dengan value yang ada di DATE.,others
kerjaan di hari sabtu dan tidak mengikuti date selama 3 bulan,waktu_tidak_sesuai
"Ganti email, atau double akunnya",Admin
"Domisili tempat tinggal tinggal pindah ke Bogor, dan saya bantu carikan Date di daerah Bogor, sehingga tetep bisa berkomunitas dan bisa berdate",alasan_date
sedang cuti date untuk smentara ini.,others
sudah pindah gereja dan tidak datang,tertanam_di_gereja_lain
pindah gereja dan sudah tidak aktif,tertanam_di_gereja_lain
"Nic tidak pernah dtg date, sudah diapproach tp masih tdk dtg jg",tidak_ada_respon
sdh lama tidak joint dalam DATE,tidak_ada_respon
"sdh lama tdk datang dalam DATE meskipun secara online, alasan waktunya skrg kurang pas karena ada nge les in anak di daerah dekat rumahnya",waktu_tidak_sesuai
mencari date baru yang lebih sesuai kebutuhan,alasan_date
Ingin mencari tempat DATE yang baru..,alasan_date
pindah kota ke Surabaya. Jadi dia mencari gereja di Surabaya,lokasi
tidak pernah datang Date & tdk ada kabar,tidak_ada_respon
Pindah ke luar negeri selama 3 tahun ikut Suami (Jason). dan off untuk sementara di date. Untuk keluar dari Date Serpong Lagoon 2 sudah di setujui oleh Melisa,lokasi
Pindah ke luar negeri selama 3 tahun untuk sekolah. dan off untuk sementara di date. Untuk keluar dari Date Serpong Lagoon 2 sudah di setujui oleh Jason,lokasi
DL pindah domisili ke tangerang,lokasi
"tinggal di luar kota sekarang, jd ga aktif lg",lokasi
pindah ke gereja istrinya jadi tidak aktif di date lagi,tertanam_di_gereja_lain
Moved to a different church in jakarta wi tj husband,tertanam_di_gereja_lain
saat ini sudah berdomisili di Bali,lokasi
